check,check_level,check_status,constraint,constraint_status,constraint_message
Employee data verification,Error,Success,"CompletenessConstraint(Completeness(employee_id,None,None))",Success,
Employee data verification,Error,Success,"ComplianceConstraint(Compliance(employee_id is non-negative,COALESCE(CAST(employee_id AS DECIMAL(20,10)), 0.0) >= 0,None,List(employee_id),None))",Success,
Employee data verification,Error,Success,"UniquenessConstraint(Uniqueness(List(employee_id),None,None))",Success,
Employee data verification,Error,Success,"CompletenessConstraint(Completeness(first_name,None,None))",Success,
Employee data verification,Error,Success,"MinLengthConstraint(MinLength(first_name,None,None))",Success,
Employee data verification,Error,Success,"MaxLengthConstraint(MaxLength(first_name,None,None))",Success,
Employee data verification,Error,Success,"PatternMatchConstraint(first_name, ^[^\d]*$)",Success,
Employee data verification,Error,Success,"CompletenessConstraint(Completeness(last_name,None,None))",Success,
Employee data verification,Error,Success,"MinLengthConstraint(MinLength(last_name,None,None))",Success,
Employee data verification,Error,Success,"MaxLengthConstraint(MaxLength(last_name,None,None))",Success,
Employee data verification,Error,Success,"PatternMatchConstraint(last_name, ^[^\d]*$)",Success,
Employee data verification,Error,Success,"CompletenessConstraint(Completeness(email,None,None))",Success,
Employee data verification,Error,Success,"UniquenessConstraint(Uniqueness(List(email),None,None))",Success,
Employee data verification,Error,Success,"PatternMatchConstraint(email, .+@.+\..+)",Success,
Employee data verification,Error,Success,"CompletenessConstraint(Completeness(phone_number,None,None))",Success,
Employee data verification,Error,Success,"MinLengthConstraint(MinLength(phone_number,None,None))",Success,
Employee data verification,Error,Success,"MaxLengthConstraint(MaxLength(phone_number,None,None))",Success,
Employee data verification,Error,Success,"CompletenessConstraint(Completeness(hire_date,None,None))",Success,
Employee data verification,Error,Success,"CompletenessConstraint(Completeness(job_id,None,None))",Success,
Employee data verification,Error,Success,"ComplianceConstraint(Compliance(job_id is non-negative,COALESCE(CAST(job_id AS DECIMAL(20,10)), 0.0) >= 0,None,List(job_id),None))",Success,
Employee data verification,Error,Success,"ComplianceConstraint(Compliance(job_id contained in 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,`job_id` IS NULL OR `job_id` IN ('1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19'),None,List(job_id),None))",Success,
Employee data verification,Error,Success,"CompletenessConstraint(Completeness(salary,None,None))",Success,
Employee data verification,Error,Success,"MinimumConstraint(Minimum(salary,None,None))",Success,
Employee data verification,Error,Success,"ComplianceConstraint(Compliance(manager_id is non-negative,COALESCE(CAST(manager_id AS DECIMAL(20,10)), 0.0) >= 0,None,List(manager_id),None))",Success,
Employee data verification,Error,Success,"CompletenessConstraint(Completeness(manager_id,None,None))",Success,
Employee data verification,Error,Success,"ComplianceConstraint(Compliance(manager_id contained in 100,101,102,103,108,114,120,123,201,205,`manager_id` IS NULL OR `manager_id` IN ('100','101','102','103','108','114','120','123','201','205'),None,List(manager_id),None))",Success,
Employee data verification,Error,Success,"CompletenessConstraint(Completeness(department_id,None,None))",Success,
Employee data verification,Error,Success,"CompletenessConstraint(Completeness(department_id,None,None))",Success,
Employee data verification,Error,Success,"ComplianceConstraint(Compliance(department_id contained in 1,2,3,4,5,6,7,8,9,10,11,`department_id` IS NULL OR `department_id` IN ('1','2','3','4','5','6','7','8','9','10','11'),None,List(department_id),None))",Success,
